,Date,Open,,,,,,,,,,,,,
391,Jul 03. 2018,"1,242.13",,,,,,,,,,,,,
392,Jul 04. 2018,"1,252.14",,,,,,,,,,,,,
393,Jul 05. 2018,"1,256.87",,,,,,,,,,,,,
394,Jul 06. 2018,"1,257.50",,,,,,,,,,,,,
395,Jul 09. 2018,"1,255.13",,,,,,,,,,,,,
396,Jul 10. 2018,"1,257.68",,,,,,,,,,,,,
397,Jul 11. 2018,"1,255.88",,,,,,,,,,,,,
398,Jul 12. 2018,"1,242.14",,,,,,,,,,,,,
399,Jul 13. 2018,"1,247.45",,,,,,,,,,,,,
400,Jul 16. 2018,"1,241.41",,,,,,,,,,,,,
401,Jul 17. 2018,"1,240.76",,,,,,,,,,,,,
402,Jul 18. 2018,"1,227.47",,,,,,,,,,,,,
403,Jul 19. 2018,"1,227.46",,,,,,,,,,,,,
404,Jul 20. 2018,"1,223.33",,,,,,,,,,,,,
405,Jul 23. 2018,"1,231.55",,,,,,,,,,,,,
406,Jul 24. 2018,"1,224.94",,,,,,,,,,,,,
407,Jul 25. 2018,"1,224.34",,,,,,,,,,,,,
408,Jul 26. 2018,"1,231.34",,,,,,,,,,,,,
409,Jul 27. 2018,"1,222.99",,,,,,,,,,,,,
410,Jul 30. 2018,"1,222.96",,,,,,,,,,,,,
411,Jul 31. 2018,"1,221.78",,,,,,,,,,,,,
412,Aug 01. 2018,"1,223.97",,,,,,,,,,,,,
413,Aug 02. 2018,"1,215.46",,,,,,,,,,,,,
414,Aug 03. 2018,"1,208.09",,,,,,,,,,,,,
415,Aug 06. 2018,"1,213.65",,,,,,,,,,,,,
416,Aug 07. 2018,"1,207.54",,,,,,,,,,,,,
417,Aug 08. 2018,"1,210.81",,,,,,,,,,,,,
418,Aug 09. 2018,"1,213.94",,,,,,,,,,,,,
419,Aug 10. 2018,"1,212.54",,,,,,,,,,,,,
420,Aug 13. 2018,"1,211.24",,,,,,,,,,,,,
421,Aug 14. 2018,"1,194.19",,,,,,,,,,,,,
422,Aug 15. 2018,"1,194.41",,,,,,,,,,,,,
423,Aug 16. 2018,"1,175.57",,,,,,,,,,,,,
424,Aug 17. 2018,"1,173.73",,,,,,,,,,,,,
425,Aug 20. 2018,"1,183.74",,,,,,,,,,,,,
426,Aug 21. 2018,"1,190.61",,,,,,,,,,,,,
427,Aug 22. 2018,"1,196.80",,,,,,,,,,,,,
428,Aug 23. 2018,"1,195.94",,,,,,,,,,,,,
429,Aug 24. 2018,"1,185.41",,,,,,,,,,,,,
430,Aug 27. 2018,"1,206.94",,,,,,,,,,,,,
431,Aug 28. 2018,"1,211.61",,,,,,,,,,,,,
432,Aug 29. 2018,"1,201.31",,,,,,,,,,,,,
433,Aug 30. 2018,"1,206.58",,,,,,,,,,,,,
434,Aug 31. 2018,"1,200.58",,,,,,,,,,,,,
435,Sep 03. 2018,"1,200.29",,,,,,,,,,,,,
436,Sep 04. 2018,"1,201.67",,,,,,,,,,,,,
437,Sep 05. 2018,"1,191.47",,,,,,,,,,,,,
